,training_losses,validation_losses,validation_score,validation_accuracy
0,0.5603735636162002,0.5256914448738098,0.7058939530812559,0.7527187500000001
1,0.5332488364612789,0.5271307475566864,0.7259092089022656,0.755546875
2,0.5229766569392034,0.5199891325831413,0.7132145521434753,0.7601718750000002
3,0.5122277441636961,0.519841693520546,0.7311115479196935,0.760453125
4,0.4987739346466227,0.5409703936576843,0.7065681759581526,0.7332812499999999
5,0.4810491584339348,0.5533995886445046,0.710141315613041,0.729234375
6,0.4610893502082367,0.5699633457660676,0.6970300557989797,0.728421875
7,0.435995401542314,0.5616195281744003,0.7016067403221102,0.72765625
8,0.4082889073663042,0.644188709139824,0.6979370956959277,0.72525
9,0.37966696424762686,0.6674390694499016,0.6879084497826837,0.7126250000000001
10,0.2796413103278441,0.802729275226593,0.6874172034545206,0.7018125
11,0.23288533744407272,0.8735736132860183,0.682267732683036,0.6963593750000001
12,0.20574640384705972,0.9733670747280121,0.67802470621572,0.689921875
13,0.18197833451644818,1.0309533927440644,0.6751583510973731,0.688140625
14,0.16226335273218634,1.1206187428236007,0.6738071866737027,0.684828125
